"iso_year","iso_week","growth_q_elec","growth_q_flights","growth_q_nedar","growth_q_ind","growth_q_no2","growth_q_omx","growth_q_ret","growth_q_ships","growth_q_unemp_in","growth_q_unemp_out","Pct_change_GDP"
2018,22,2.31798184905069,NA,28.5182938599841,-1.73109663778225,-9.18022607278145,5.14952796475745,1.82199657168329,-0.628788555026139,-7.80858161134345,5.83123305090986,NA
2018,23,1.13912181264234,NA,21.7008412120563,NA,-12.9342040133386,5.2189515223095,NA,0.382927855361522,-7.55712650921733,5.58395479273538,NA
2018,24,0.150425058036685,NA,6.58534425976019,NA,-10.3898108520917,5.1974259104536,NA,2.55044855012028,-7.31760030992163,7.63273131983481,NA
2018,25,-0.687340799399283,NA,-6.5694549764413,NA,-11.8491468693098,4.98278641182727,NA,3.41479884850844,-7.09274019427088,9.65674066022101,NA
2018,26,-1.76741598793642,NA,-15.7242290905356,-1.59868781380236,-12.3510178244441,4.6566689454266,1.19761910467156,4.3075289312929,-6.81803539211273,10.8916384144707,1.6
2018,27,-2.29779491268709,NA,-17.3839878620945,NA,-13.4961985249888,4.1970484030106,NA,7.10471593385844,-5.06407513744703,10.429464419593,NA
2018,28,-1.55926318925209,NA,-20.6246675861487,NA,-12.372604911483,3.85459689145378,NA,6.94085100834859,-4.00086221065241,9.77053453216321,NA
2018,29,-0.699894575989463,NA,-22.7905082116905,NA,-11.3048276578183,3.52188007133265,NA,6.37198960747389,-3.30056990797418,8.89437232641522,NA
2018,30,-0.323696722149462,NA,-42.7856325692841,NA,-11.5756342148062,3.31103283603455,NA,7.32964020544545,-2.03699115060736,8.55273864997925,NA
2018,31,-0.197266616565228,NA,-45.6366623302328,3.96341925885707,-10.1748801122412,3.20617406058713,1.93461477238651,9.49517333314396,-2.63486319761127,6.53098337274511,NA
2018,32,-0.248897833617616,NA,-51.5334996266175,NA,-11.7673293428259,2.79145969542495,NA,8.98231953120504,-1.34689297159684,5.93818130525188,NA
2018,33,-0.449317450331447,NA,-54.8364924076767,NA,-10.4813278183824,2.38650642644685,NA,9.92452389605414,-1.05198388748645,6.18335991822774,NA
2018,34,-0.234386358242761,NA,-59.3755293609722,NA,-7.94023419642722,1.92693495305817,NA,8.69348858469464,-1.04051245464242,5.03879028302346,NA
2018,35,0.0784104947505004,NA,-61.886593460857,3.22676224235965,-7.03061889975915,1.45145516904446,0.898698859098645,9.86434905267175,-1.84782096918615,5.04221721645285,NA
2018,36,0.451016013112838,NA,-62.6565064556957,NA,-2.86253846079395,0.95570733901733,NA,8.81673467115943,-1.85421702083291,5.15906298847376,NA
2018,37,0.511793227089063,NA,-40.3259542902269,NA,-5.16308492413886,0.405639974350458,NA,6.8478970917901,-1.28296459701471,3.52261920674859,NA
2018,38,0.696152058162698,NA,-34.1348283646761,NA,-2.76075596674943,-0.109727013274103,NA,6.24995504120877,-0.859158000621981,-0.606049723693923,NA
2018,39,1.14328547897216,NA,-19.0117067119106,1.43160339732061,-4.69710733832737,-0.527200966676783,1.74979032054029,5.56490464403352,1.25349674592714,-3.42129828816094,0.1
2018,40,1.39223542241196,NA,-15.4608127400294,NA,-3.10694694592957,-0.852714649006231,NA,3.35504180387322,1.24621601858776,-3.84124781607625,NA
